date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:21	19908/19908	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.woff	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.woff	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:22	48728/48728	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.ttf	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.ttf	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:30	121408/121408	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.svg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.svg	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:30	48936/48936	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.ttf	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.ttf	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:47	67904/67904	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/ionicons.woff?v=2.0.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/ionicons28b5.woff	(from http://demo.highhay.com/simpleux/fonts/ionicons.min.css)
09:20:48	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/ionicons.eot?v=2.0.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/ionicons28b5.eot	(from http://demo.highhay.com/simpleux/fonts/ionicons.min.css)
09:20:53	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/ionicons.svg?v=2.0.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/ionicons28b5.svg	(from http://demo.highhay.com/simpleux/fonts/ionicons.min.css)
09:21:03	188508/188508	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/ionicons.ttf?v=2.0.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/ionicons28b5.ttf	(from http://demo.highhay.com/simpleux/fonts/ionicons.min.css)
09:21:05	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/fontawesome-webfont3e6e.woff2	(from http://demo.highhay.com/simpleux/fonts/font-awesome.min.css)
09:21:16	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/fontawesome-webfontd41d.eot	(from http://demo.highhay.com/simpleux/fonts/font-awesome.min.css)
09:21:20	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/fontawesome-webfont3e6e.eot	(from http://demo.highhay.com/simpleux/fonts/font-awesome.min.css)
09:21:23	213/213	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/js/vegas/overlays/02.png	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/vegas/overlays/02.png	(from http://demo.highhay.com/simpleux/js/vegas/vegas.min.css)
09:21:24	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/fontawesome-webfont3e6e.woff	(from http://demo.highhay.com/simpleux/fonts/font-awesome.min.css)
09:21:27	1397/1397	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/css/style-default.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/css/style-default.css	(from http://demo.highhay.com/simpleux/index.html)
09:21:28	47140/47140	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-2.html	(from http://demo.highhay.com/simpleux/gallery.html)
09:21:33	10934/10934	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/avatar.png	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/avatar.png	(from http://demo.highhay.com/simpleux/item.html)
09:21:35	46659/46659	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/index-home-alt.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-home-alt.html	(from http://demo.highhay.com/simpleux/demo.html)
09:21:38	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/fontawesome-webfont3e6e.svg	(from http://demo.highhay.com/simpleux/fonts/font-awesome.min.css)
09:21:39	46746/46746	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/index-home-full.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-home-full.html	(from http://demo.highhay.com/simpleux/demo.html)
09:21:42	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/fontawesome-webfont3e6e.ttf	(from http://demo.highhay.com/simpleux/fonts/font-awesome.min.css)
09:21:43	47082/47082	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/index-style1.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-style1.html	(from http://demo.highhay.com/simpleux/demo.html)
09:21:45	53095/53095	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/home-centered.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/home-centered.jpg	(from http://demo.highhay.com/simpleux/demo.html)
09:21:49	47083/47083	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/index-style2.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-style2.html	(from http://demo.highhay.com/simpleux/demo.html)
09:21:49	57484/57484	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/home-full.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/home-full.jpg	(from http://demo.highhay.com/simpleux/demo.html)
09:21:50	43941/43941	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/style1.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/style1.jpg	(from http://demo.highhay.com/simpleux/demo.html)
09:21:52	47260/47260	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/index-particle.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-particle.html	(from http://demo.highhay.com/simpleux/demo.html)
09:21:56	46739/46739	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/style2.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/style2.jpg	(from http://demo.highhay.com/simpleux/demo.html)
09:21:59	56454/56454	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/particle.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/particle.jpg	(from http://demo.highhay.com/simpleux/demo.html)
09:22:07	307957/307957	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/bg-default.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/bg-default.jpg	(from http://demo.highhay.com/simpleux/css/main.css)
09:22:08	3627/3627	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/css/style-color1.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/css/style-color1.css	(from http://demo.highhay.com/simpleux/index-style1.html)
09:22:09	11515/11515	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/gallery-style1.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/gallery-style1.html	(from http://demo.highhay.com/simpleux/index-style1.html)
09:22:09	13941/13941	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/item-style1.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/item-style1.html	(from http://demo.highhay.com/simpleux/index-style1.html)
